@RELATION HomeWork2

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1}

@DATA
198.23,419.9,0
129.38,369.91,0
82.799,417.24,0
43.606,383.61,0
129.64,395.13,0
139.55,372.13,0
180.06,399.36,0
82.215,588.12,0
167.76,580.17,0
132.31,469.4,0
90.902,451.77,0
166.75,350.57,0
141.83,384.55,0
117.29,382.85,0
220.8,439.43,0
158.67,436.86,0
123.41,418.51,0
142.41,396.52,0
133.08,367.83,0
137.32,413.46,0
151.04,469.02,0
99.24,434.14,0
89.759,422.07,0
146.48,445.41,0
221.18,441.83,0
113.78,333.99,0
79.189,414.12,0
117.12,392.32,0
105.1,313.53,0
112.77,348.1,0
152.11,397.52,0
122.44,453.64,0
99.689,401.96,0
107.07,426.05,0
64.009,369.2,0
86.696,307.49,0
59.576,417.8,0
103.53,366.59,0
75.643,470.65,0
94.162,498.22,0
114.03,394.98,0
69.991,471.65,0
127.86,459.93,0
145.49,343.86,0
81.614,411.56,0
183.39,425.99,0
51.094,438.82,0
109.61,446.36,0
56.063,446.24,0
111.93,446.44,0
63.941,397.88,0
100.65,431.78,0
92.518,302.8,0
70.748,355.95,0
27.635,472.09,0
156.5,380.82,0
226.82,429.25,0
237.76,487.1,0
104.7,369.64,0
126.56,366.19,0
105.99,389.05,0
132.53,434.81,0
83.793,403.16,0
34.759,365.28,0
127.03,336.12,0
68.782,395.05,0
35.593,402.36,0
245.15,386.97,0
117.38,400.36,0
148.6,359.52,0
187.24,440.11,0
22.256,80.3,1
135.9,145.7,1
161.6,91.803,1
87.22,216.05,1
126.02,145.89,1
143.11,112.44,1
98.696,149.57,1
128.14,118.92,1
149.01,173.45,1
82.892,110.1,1
169.74,64.248,1
182.45,131.27,1
144.55,195.69,1
129.55,60.563,1
71.753,107.32,1
153.06,168.43,1
69.236,25.111,1
206.76,149.84,1
154.61,156.09,1
141.79,129.66,1
109.53,81.456,1
22.174,118.85,1
70.226,123.76,1
146.71,165.02,1
247.02,151.71,1
165.08,102.04,1
143.99,198.57,1
102.26,116.71,1
134.8,79.375,1
175.96,97.714,1
116.37,161.27,1
221.51,128.76,1
69.02,162.75,1
110.38,122.59,1
131.38,241.05,1
33.07,37.581,1
156.52,98.817,1
132.62,115.07,1
132.77,123.57,1
167.75,190.55,1
179.95,129.95,1
168.12,113.57,1
105.84,122.56,1
126.53,156.02,1
146.13,85.415,1
67.23,141.29,1
78.047,42.511,1
107.89,115.34,1
132.62,73.049,1
216.57,87.207,1
167.88,133.04,1
107.13,64.068,1
97.987,70.737,1
203.97,44.92,1
262.76,10,1
137.02,111.77,1
105.35,176.17,1
59.593,110.28,1
176.59,107.73,1
143.01,67.907,1
185.92,196.78,1
84.286,106.98,1
140.6,182.6,1
96.764,136.93,1
191.29,106.31,1
101.8,172.22,1
124.53,167.34,1
111.77,113.74,1
177.52,182.7,1
149.81,206.48,1
79.608,115.98,1
97.811,106.67,1
77.573,139.02,1
153.59,136.43,1
145.08,158.77,1
48.678,106.67,1
35.378,154.24,1
126.83,170.58,1
162.98,127.9,1
137.08,126.71,1
53.167,57.735,1
52.774,61.73,1
171.3,47.586,1
121.69,58.227,1
109.89,111.6,1
193.31,40.066,1
89.786,229.25,1
135.45,155.42,1
149.29,17.882,1
168.99,62.624,1
86.949,113.94,1
146.32,35.266,1
263.49,96.662,1
54.677,172.66,1
150.08,111.17,1
117.55,115.9,1
88.286,70.119,1
88.046,91.97,1
153.21,52.971,1
242.28,137.04,1
400.65,190.38,0
461.2,186.81,0
483.44,123.86,0
475.6,98.268,0
421.11,144.23,0
398.12,87.04,0
362.84,113.07,0
428.62,93.204,0
469.83,124.37,0
406.11,174.49,0
414.32,155.58,0
453.01,175.23,0
465.14,74.376,0
353.38,128.01,0
432.61,71.013,0
432.41,138.05,0
415.41,135.16,0
466.56,182.72,0
404.97,173.06,0
382.33,151.2,0
436.34,94.448,0
445.34,95.873,0
412.15,18.671,0
461.82,97.23,0
348.43,43.188,0
370.14,164.76,0
272.28,163.39,0
448.36,125.97,0
374.25,100.66,0
410.41,126.21,0
472.27,197.84,0
425.31,185.3,0
401.23,97.223,0
381.24,127.45,0
411.03,64.293,0
452.36,138.83,0
348.52,155.41,0
419.46,163.3,0
461.15,44.167,0
353.2,143.92,0
455.61,76.85,0
456.29,100.75,0
379.59,157.81,0
349.09,133.81,0
444.04,111.17,0
462.42,148.93,0
451.18,199.29,0
460.19,88.646,0
364.89,53.042,0
451.42,62.247,0
394.39,72.927,0
395.31,86.308,0
346.57,147.45,0
476.72,16.994,0
431.39,130.76,0
471.99,81.054,0
496.85,173.08,0
367.09,77.274,0
454.32,119.57,0
422.19,73.255,0
467.61,85.801,0
477.09,106.45,0
463.02,107.99,0
382.75,93.481,0
416.61,174.48,0
435.76,146.15,0
577.58,210.1,0
482.92,105.61,0
536.52,171.46,0
443.12,16.334,0
433.19,150.48,0
452.86,137.4,0
396.95,100.86,0
483.65,153.27,0
415.09,162.2,0
355.51,169.84,0
465.48,139.77,0
345.95,148.65,0
332.44,86.17,0
436.94,65.533,0
376.22,106.08,0
378.19,128.34,0
414.88,165.79,0
398.86,80.462,0
411.9,95.213,0
436.14,264.95,0
365.55,88.69,0
362.83,213.29,0
319.94,166.29,0
403.69,91.865,0
455.36,113.98,0
388.4,108.65,0
447.38,142.4,0
449.29,186.11,0
471.36,38.945,0
471.29,218.36,0
389.06,157.31,0
380.83,92.301,0
425.18,113.02,0
390.23,133.88,0
